flow,snapshot,value,unit
YZ_CE_to_YZ_NR,2050-03-09 17:00:00,-1930.8369796414263,MW
YZ_CE_to_YZ_NR,2050-03-10 18:00:00,-876.4878613765848,MW
YZ_CE_to_YZ_NR,2050-03-11 19:00:00,2051.659180704286,MW
YZ_CE_to_YZ_NR,2050-03-12 20:00:00,-245.25265111997828,MW
YZ_CE_to_YZ_NR,2050-03-13 21:00:00,-121.95988260706736,MW
YZ_CE_to_YZ_NR,2050-03-14 22:00:00,2540.5084839787332,MW
YZ_CE_to_YZ_NR,2050-03-15 23:00:00,3100.0,MW
YZ_CE_to_YZ_NR,2050-03-17 00:00:00,3100.0,MW
YZ_CE_to_YZ_NR,2050-03-18 01:00:00,1405.36240321851,MW
YZ_CE_to_YZ_NR,2050-03-19 02:00:00,2228.6846014443877,MW
YZ_CE_to_YZ_NR,2050-03-20 03:00:00,-715.491284499954,MW
YZ_CE_to_YZ_NR,2050-03-21 04:00:00,-1609.878787280745,MW
YZ_CE_to_YZ_NR,2050-03-22 05:00:00,1201.6608472282546,MW
YZ_CE_to_YZ_NR,2050-03-23 06:00:00,2948.971766416211,MW
YZ_CE_to_YZ_NR,2050-03-24 07:00:00,2905.5151973260045,MW
YZ_CE_to_YZ_NR,2050-03-25 08:00:00,394.6487389950364,MW
YZ_CE_to_YZ_NR,2050-03-26 09:00:00,1015.606186386502,MW
YZ_CE_to_YZ_NR,2050-03-27 10:00:00,-1410.351891692039,MW
YZ_CE_to_YZ_NR,2050-03-28 11:00:00,-3100.0,MW
YZ_CE_to_YZ_NR,2050-03-29 12:00:00,-3100.0,MW
YZ_CE_to_YZ_NR,2050-03-30 13:00:00,-3100.0,MW
YZ_CE_to_YZ_NR,2050-03-31 14:00:00,-3100.0,MW
YZ_CE_to_YZ_NR,2050-04-01 15:00:00,-935.7109560480471,MW
YZ_CE_to_YZ_NR,2050-04-02 16:00:00,-1354.3119705554238,MW
YZ_CE_to_YZ_NR,2050-04-03 17:00:00,1425.4882002058462,MW
YZ_CE_to_YZ_NR,2050-04-04 18:00:00,822.5253980243408,MW
YZ_CE_to_YZ_NR,2050-04-05 19:00:00,3100.0,MW
YZ_CE_to_YZ_NR,2050-04-06 20:00:00,-3100.0,MW
YZ_CE_to_YZ_NR,2050-04-07 21:00:00,-484.6648228121917,MW
YZ_CE_to_YZ_NR,2050-04-08 22:00:00,1009.4627630515333,MW
YZ_CE_to_YZ_NR,2050-04-09 23:00:00,-23.357951167288434,MW
YZ_CE_to_YZ_NR,2050-04-11 00:00:00,2135.353327874178,MW
YZ_CE_to_YZ_NR,2050-04-12 01:00:00,1427.953327874688,MW
YZ_CE_to_YZ_NR,2050-04-13 02:00:00,2723.9385770269096,MW
YZ_CE_to_YZ_NR,2050-04-14 03:00:00,3100.0,MW
YZ_CE_to_YZ_NR,2050-04-15 04:00:00,631.0376053029404,MW
YZ_CE_to_YZ_NR,2050-04-16 05:00:00,-480.59948771065933,MW
YZ_CE_to_YZ_NR,2050-04-17 06:00:00,491.038233553151,MW
YZ_CE_to_YZ_NR,2050-04-18 07:00:00,-2659.8827515538637,MW
YZ_CE_to_YZ_NR,2050-04-19 08:00:00,-668.4749437655207,MW
YZ_CE_to_YZ_NR,2050-04-20 09:00:00,-2755.7314388276445,MW
YZ_CE_to_YZ_NR,2050-04-21 10:00:00,-3100.0,MW
YZ_CE_to_YZ_NR,2050-04-22 11:00:00,-3100.0,MW
YZ_CE_to_YZ_NR,2050-04-23 12:00:00,-3100.0,MW
YZ_CE_to_YZ_NR,2050-04-24 13:00:00,-3100.0,MW
YZ_CE_to_YZ_NR,2050-04-25 14:00:00,-2417.5688320279573,MW
YZ_CE_to_YZ_NR,2050-04-26 15:00:00,235.56600707305392,MW
YZ_CE_to_YZ_NR,2050-04-27 16:00:00,-3100.0,MW
YZ_CE_to_YZ_NR,2050-04-28 17:00:00,-1688.1869906767913,MW
YZ_CE_to_YZ_NR,2050-04-29 18:00:00,-2076.6516028297715,MW
YZ_CE_to_YZ_NR,2050-04-30 19:00:00,707.3484532894117,MW
YZ_CE_to_YZ_NR,2050-05-01 20:00:00,-2943.386874754058,MW
YZ_CE_to_YZ_NR,2050-05-02 21:00:00,-1574.080632893846,MW
YZ_CE_to_YZ_NR,2050-05-03 22:00:00,-1654.3627253123495,MW
YZ_CE_to_YZ_NR,2050-05-04 23:00:00,-1347.8186850697853,MW
YZ_CE_to_YZ_NR,2050-05-06 00:00:00,-2404.7383328577225,MW
YZ_CE_to_YZ_NR,2050-05-07 01:00:00,-1045.4817053809645,MW
YZ_CE_to_YZ_NR,2050-05-08 02:00:00,-1985.5076632939545,MW
YZ_CE_to_YZ_NR,2050-05-09 03:00:00,206.7812625152144,MW
