snapshot,country,status,value,unit
2040-02-12 17:00:00,XY,stateOfCharge,0.0,MW
2040-02-13 18:00:00,XY,stateOfCharge,0.0,MW
2040-02-14 19:00:00,XY,stateOfCharge,0.0,MW
2040-02-15 20:00:00,XY,stateOfCharge,0.0,MW
2040-02-16 21:00:00,XY,stateOfCharge,0.0,MW
2040-02-17 22:00:00,XY,stateOfCharge,0.0,MW
2040-02-18 23:00:00,XY,stateOfCharge,0.0,MW
2040-02-20 00:00:00,XY,stateOfCharge,0.0,MW
2040-02-21 01:00:00,XY,stateOfCharge,0.0,MW
2040-02-22 02:00:00,XY,stateOfCharge,0.0,MW
2040-02-23 03:00:00,XY,stateOfCharge,0.0,MW
2040-02-24 04:00:00,XY,stateOfCharge,0.0,MW
2040-02-25 05:00:00,XY,stateOfCharge,0.0,MW
2040-02-26 06:00:00,XY,stateOfCharge,0.0,MW
2040-02-27 07:00:00,XY,stateOfCharge,0.0,MW
2040-02-28 08:00:00,XY,stateOfCharge,0.0,MW
2040-02-29 09:00:00,XY,stateOfCharge,0.0,MW
2040-03-01 10:00:00,XY,stateOfCharge,0.0,MW
2040-03-02 11:00:00,XY,stateOfCharge,0.0,MW
2040-03-03 12:00:00,XY,stateOfCharge,0.0,MW
2040-03-04 13:00:00,XY,stateOfCharge,0.0,MW
2040-03-05 14:00:00,XY,stateOfCharge,0.0,MW
2040-03-06 15:00:00,XY,stateOfCharge,0.0,MW
2040-03-07 16:00:00,XY,stateOfCharge,0.0,MW
2040-03-08 17:00:00,XY,stateOfCharge,0.0,MW
2040-03-09 18:00:00,XY,stateOfCharge,0.0,MW
2040-03-10 19:00:00,XY,stateOfCharge,0.0,MW
2040-03-11 20:00:00,XY,stateOfCharge,0.0,MW
2040-03-12 21:00:00,XY,stateOfCharge,0.0,MW
2040-03-13 22:00:00,XY,stateOfCharge,0.0,MW
2040-03-14 23:00:00,XY,stateOfCharge,0.0,MW
2040-03-16 00:00:00,XY,stateOfCharge,0.0,MW
2040-03-17 01:00:00,XY,stateOfCharge,0.0,MW
2040-03-18 02:00:00,XY,stateOfCharge,0.0,MW
2040-03-19 03:00:00,XY,stateOfCharge,0.0,MW
2040-03-20 04:00:00,XY,stateOfCharge,0.0,MW
2040-03-21 05:00:00,XY,stateOfCharge,0.0,MW
2040-03-22 06:00:00,XY,stateOfCharge,0.0,MW
2040-03-23 07:00:00,XY,stateOfCharge,0.0,MW
